WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
1191053;HYGAPE100;HILO DE CANILLA (GRUESO)10.000MTS Nº100;2969;HYGAPE100;HILO DE CANILLA (GRUESO)10.000MTS Nº100;1;product
1191109;;MÁQUINA DE BORDAR ZSK SPRINT 7;3515;;MÁQUINA DE BORDAR ZSK SPRINT 7;1;product
1191118;ENTRETELASOLUBLE;ENTRETETELA HIDROSOLUBLE;1595;ENTRETELASOLUBLE;ENTRETETELA HIDROSOLUBLE  40g (1m x 100m) ROLLO;1;product
1191157;P-10300;FISPOLY40, P-10300;717;P-10300;FISPOLY40, P-10300;1;product
1191159;P-10135;FISPOLY40, P-10135;718;P-10135;FISPOLY40, P-10135;1;product
1191160;P-50115;FISPOLY40, P-50115;719;P-50115;FISPOLY40, P-50115;1;product
1191161;P-10142;FISPOLY40, P-10142;720;P-10142;FISPOLY40, P-10142;1;product
1191162;P-10121;FISPOLY40, P-10121;541;P-10121;FISPOLY40, P-10121;1;product
1191163;P-10114;FISPOLY40, P-10114;721;P-10114;FISPOLY40, P-10114;1;product
1191164;P-10113;FISPOLY40, P-10113;722;P-10113;FISPOLY40, P-10113;1;product
1191165;P-26789;FISPOLY40, P-26789;542;P-26789;FISPOLY40, P-26789;1;product
1191167;P-36705;FISPOLY40, P-36705;724;P-36705;FISPOLY40, P-36705;1;product
1191168;P-10100;FISPOLY40, P-10100;725;P-10100;FISPOLY40, P-10100;1;product
